ad_id,fb_campaign_id,xyz_campaign_id,Impressions,Clicks,Spent,Total_Conversion,age,gender,interest,Approved_Conversion
140,106,10,102502,3181,110.12530426238214,29,30-34,M,Travel,12.0
141,68,18,126192,1728,3579.3184731427073,8,30-34,F,Tech,1.0
142,270,16,153033,2875,3597.915868790454,13,30-34,M,Sports,4.0
143,433,16,185503,4974,3247.9228666534564,3,30-34,M,Sports,3.0
144,456,14,82555,3685,3076.126487162246,22,25-29,F,Tech,11.0
145,259,7,88635,1586,414.89634149146076,22,25-29,F,Sports,10.0
146,209,5,95368,329,1269.709546802329,2,25-29,F,Travel,0.0
147,372,18,190963,921,2893.171338084763,7,30-34,M,Travel,3.0
148,453,18,39954,1367,2001.224491843043,18,30-34,F,Tech,7.0
149,134,3,100479,4401,4960.514981478153,2,25-29,M,Sports,1.0
150,281,4,10916,1362,4622.539519007148,29,35-39,M,Tech,18.0
151,108,5,85620,4063,802.4391174865583,30,25-29,M,Tech,12.0
152,403,1,189117,1376,2970.304933615177,28,30-34,M,Travel,13.0
153,424,13,124422,3342,3496.26477521211,32,35-39,F,Sports,19.0
154,135,18,70572,2639,725.8899007893863,32,35-39,F,Travel,16.0
155,300,15,199024,4792,1597.3484531507977,15,30-34,M,Tech,5.0
156,115,3,121147,2836,3593.793342281197,17,30-34,M,Tech,7.0
157,74,1,189839,4629,4510.485062443041,11,30-34,F,Tech,3.0
158,18,18,4250,4810,1741.6261185203696,6,30-34,F,Tech,58.0
159,183,6,92548,3743,1232.7713728718388,11,30-34,F,Tech,7.0
160,177,16,167156,3145,4117.870413514562,28,30-34,F,Sports,13.0
161,429,8,151788,4304,2945.664267117108,14,30-34,M,Sports,5.0
162,358,15,82090,4982,2409.1126874435636,39,35-39,F,Travel,19.0
163,234,17,99987,1243,1317.942606068067,23,30-34,M,Tech,12.0
164,109,17,84628,2817,409.6588258091889,26,25-29,M,Sports,16.0
165,169,1,106333,714,138.56253344002755,21,25-29,F,Travel,7.0
166,61,6,46819,533,2920.852393792269,31,30-34,M,Travel,11.0
167,171,17,157371,3353,995.9958536273703,14,30-34,M,Tech,7.0
168,216,12,16464,247,4878.888243212761,24,35-39,F,Tech,4.0
169,412,7,83516,3575,582.0122805114289,25,35-39,M,Tech,11.0
170,444,18,57090,4106,2287.8395022191867,34,25-29,F,Travel,17.0
171,227,12,147162,843,2003.565995501252,27,35-39,M,Sports,10.0
172,147,1,150109,3405,1199.9418026633784,23,30-34,M,Tech,7.0
173,474,18,142517,1983,3756.3408387694785,22,30-34,F,Travel,9.0
174,464,16,184969,4467,3236.3385722975363,2,35-39,M,Travel,0.0
175,156,2,186479,4552,3642.500541006756,15,25-29,F,Sports,9.0
176,424,19,37745,2891,459.9024506876488,12,30-34,F,Sports,7.0
177,378,11,23871,2811,1796.0799076972053,24,25-29,F,Sports,15.0
178,197,19,27339,3555,2623.173717954447,12,35-39,M,Tech,11.0
179,143,5,146074,2895,2162.2696614646934,23,25-29,F,Tech,11.0
180,43,3,194094,3731,251.0569312700889,19,35-39,F,Sports,3.0
181,384,14,185557,978,1010.4359017589263,13,35-39,M,Travel,5.0
182,223,2,133979,3912,4727.872009107901,20,35-39,F,Sports,11.0
183,9,16,193617,2634,854.7201375289252,12,30-34,M,Sports,5.0
184,71,6,174381,3761,4267.659045690737,8,30-34,M,Tech,1.0
185,65,5,3926,2621,4119.578937368979,21,35-39,M,Tech,42.0
186,403,12,24728,1539,1986.9040975366345,39,25-29,M,Sports,19.0
187,130,17,172864,453,2360.5784232291044,24,30-34,F,Sports,9.0
188,302,16,17389,2631,4128.808947867101,24,25-29,F,Sports,15.0
189,435,4,196257,4909,3419.3973115725516,24,35-39,F,Travel,9.0
190,211,15,165647,188,4192.871495323901,35,35-39,M,Tech,13.0
191,161,10,191484,2861,3800.1030998690126,15,30-34,M,Sports,5.0
192,119,13,72704,2241,3471.793823230993,16,30-34,M,Sports,4.0
193,242,3,30604,41,4569.221824734047,22,35-39,F,Tech,7.0
194,404,9,103856,2722,4122.895308818214,22,25-29,M,Travel,10.0
195,54,6,194553,3865,936.3603035358167,39,25-29,M,Sports,16.0
196,404,5,74077,3710,3753.7101616521622,7,25-29,M,Travel,5.0
197,283,8,178097,4891,479.0725494169868,17,35-39,F,Sports,8.0
198,440,2,77382,2650,2157.988389455407,8,30-34,M,Tech,7.0
199,48,14,164652,2953,2013.921841409455,33,25-29,M,Travel,19.0
